link,Cena,Powierzchnia,Typ działki,Położenie,Prąd,Woda,Gaz,Kanalizacja,Dojazd utwardzony,Ogrodzenie,Miejscowość,Województwo
https://www.otodom.pl/pl/oferta/dzialka-1379-m2-z-zabudowa-2-domow-w-wesolej-ID4zhUU,1699000,1379,building,,1,1,1,1,1,1,warszawa,mazowieckie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-950m2-mpzp-prad-wod-kan-sklep-szkola-szynobus-ID4yZsh,208050,950,building,country,1,1,0,1,1,1,lopuchowo_48725,wielkopolskie
https://www.otodom.pl/pl/oferta/dzialki-z-wydanymi-warunkami-zabudowy-w-nowej-wsi-ID4zhUk,124000,800,building,suburban,1,1,0,0,1,1,mierzecice,slaskie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-rusinowice-595m2-ID4zhU4,59000,595,building,,1,1,0,0,0,1,rusinowice,slaskie
https://www.otodom.pl/pl/oferta/dzialki-budowlane-nr-326-i-nr-660-korfantow-12000-pln-ar-ID4xPjs,1428000,11900,building,city,0,0,0,0,1,1,korfantow,opolskie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-lublin-lipniak-szerokie-613-m-media-warunki-ID4wnK5,344891,613,building,city,1,1,1,1,1,1,lipniak_31648,lubelskie
https://www.otodom.pl/hpr/pl/oferta/dzialki-budowlane-osiedle-sami-swoi-w-ceradzu-koscielnym-ID4zgv3,282800,808,building,,1,1,1,1,1,0,ceradz-koscielny,wielkopolskie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-centrum-rumi-ID4z3Am,659000,828,building,,1,1,1,0,0,1,rumia,pomorskie
https://www.otodom.pl/pl/oferta/idealna-dzialka-budowlana-w-jeleniej-gorze-zielo-ID4zhUg,370000,861,building,city,1,0,0,0,1,1,jelenia-gora,dolnoslaskie
https://www.otodom.pl/pl/oferta/atrakcyjna-dzialka-budowlana-niemcz-ID4xcnv,450000,966,building,suburban,1,1,0,0,1,1,niemcz,kujawsko-pomorskie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-kowalewo-ID4xYaA,229000,1013,building,,0,0,0,0,0,1,kowalewo,pomorskie
https://www.otodom.pl/pl/oferta/dzialka-inwestycyjna-janinow-grodzisk-maz-blisko-szkoly-fv-ID4yZSU,3070000,26700,,,1,1,1,0,1,1,janinow,mazowieckie
https://www.otodom.pl/pl/oferta/dzialka-802-m2-pod-zabudowe-blizniaka-pod-lasem-ID4tyk0,270000,801,building,,1,0,1,1,0,1,banino,pomorskie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-otoczona-lasem-5km-od-kaszczorka-torun-ID4xzJF,345000,2297,building,country,1,1,0,0,1,1,nowa-wies_51679,kujawsko-pomorskie
https://www.otodom.pl/pl/oferta/dzialki-budowlane-na-obrzezach-pucka-ID4zbCt,215000,943,building,,0,0,0,0,0,0,polczyno,pomorskie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-kowalewie-ID4xWHd,239000,1200,building,,1,1,0,0,0,1,kowalewo,pomorskie
https://www.otodom.pl/pl/oferta/dzialka-inwestycyjna-18-ar-w-scislym-centrum-n-brzesko-nowy-rynek-ID4zhUy,399000,18000,commercial,city,1,1,1,1,1,1,nowe-brzesko,malopolskie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-w-nieslabinie-ID4ybCf,450000,4042,building,country,1,1,0,0,0,1,nieslabin,wielkopolskie
https://www.otodom.pl/pl/oferta/dzialka-budowlano-rolna-do-sprzedania-konary-ID4vMl9,320000,1200,agricultural_building,suburban,1,1,1,1,1,1,konary,malopolskie
https://www.otodom.pl/pl/oferta/dzialki-budowlane-osiedle-sami-swoi-w-ceradzu-koscielnym-ID4zgv3,282800,808,building,,1,1,1,1,1,0,ceradz-koscielny,wielkopolskie
https://www.otodom.pl/pl/oferta/teren-uslugowy-przy-s8-idealny-pod-magazyn-lub-warsztat-mszczonow-ID4ytDt,544446,3654,commercial,,1,1,1,0,1,0,adamowice,mazowieckie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-1000-m-kowalewo-gm-szemud-ID4y8WS,169000,1000,building,,0,0,0,0,0,1,kowalewo,pomorskie
https://www.otodom.pl/pl/oferta/grunt-inwestycyjny-w-siemianicach-film-ID4qJZT,799000,9964,commercial,,1,1,1,0,1,0,siemianice_14772,dolnoslaskie
https://www.otodom.pl/pl/oferta/dzialka-inwestycyjna-pod-zabudowe-uslugowa-pelne-media-1-16-ha-ID4z0Py,2200000,11568,commercial,city,1,1,0,1,1,1,inowroclaw,kujawsko-pomorskie
https://www.otodom.pl/pl/oferta/dzialka-rolno-budowlana-4337-m-wola-glupicka-ID4zhUa,174000,4337,agricultural_building,,1,1,0,0,1,1,zeromin,lodzkie
https://www.otodom.pl/pl/oferta/duza-dzialka-budowlana-przy-lesie-blisko-klubow-zeglarskich-ID4y5tI,260000,5915,agricultural_building,country,1,1,0,1,1,1,karolewo,mazowieckie
https://www.otodom.pl/pl/oferta/dzialka-budowlana-na-sprzedaz-aleksandrow-lodzki-ID4lPVy,225000,1062,building,suburban,0,0,0,0,1,0,aleksandrow-lodzki,lodzkie
https://www.otodom.pl/pl/oferta/dzialka-widokowa-bukowina-osiedle-raba-wyzna-ID4zhUi,520000,2670,building,,0,0,0,0,1,1,bukowina-osiedle,malopolskie
https://www.otodom.pl/pl/oferta/bezposrednio-dzialka-inwestycyjna-olsztyn-ul-perlowa-2387-m2-ID4ytAz,1579000,2387,agricultural_building,city,1,1,1,1,1,1,olsztyn,warminsko-mazurskie
https://www.otodom.pl/pl/oferta/dzialka-i-z-warunkami-6-km-od-centrum-kolobrzegu-ID3MkgM,300000,3001,building,suburban,1,0,0,0,1,1,czernin,zachodniopomorskie
https://www.otodom.pl/pl/oferta/budowlana-dom-spokojnej-starosci-pensjonat-ID4n87U,1250000,8300,commercial,country,1,1,0,1,1,1,nowa-luka,podlaskie
https://www.otodom.pl/pl/oferta/dzialka-1004-m2-ID4vzmr,180000,1004,,,0,0,0,0,1,1,miszewko,pomorskie
https://www.otodom.pl/pl/oferta/dzialka-blisko-pkp-ul-armii-krajowej-budowlana-okazja-ID4zhUO,740000,705,building,city,1,1,1,1,1,1,warszawa,mazowieckie
https://www.otodom.pl/pl/oferta/dzialki-na-kameralnym-osiedlu-starocheciny-inwestuj-lub-buduj-ID4ypBa,227409,1094,building,suburban,1,1,0,1,1,1,starocheciny,swietokrzyskie
https://www.otodom.pl/pl/oferta/dwie-dzialki-miedzyrzec-podl-ul-pszenna-ID4x3bI,210000,2608,building,city,1,1,1,1,1,1,miedzyrzec-podlaski,lubelskie
https://www.otodom.pl/pl/oferta/widokowa-dzialka-luzna-zabudowa-jednorodzinna-ID4zhU7,719000,5141,agricultural_building,suburban,1,1,1,0,1,1,strzyzowice,slaskie
https://www.otodom.pl/pl/oferta/duza-dzialka-obok-muzeum-jozefa-pilsudskiego-ID4zhUW,1650000,2100,building,city,1,1,1,1,1,1,sulejowek,mazowieckie
